# Matter power spectrum P(k) at redshift z=0
# for k=1.04513e-05 to 1.5402 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.569543129996e-02       2.330447391317e+04 
       2.583174002249e-02       2.323422312843e+04 
       2.596821125646e-02       2.316347652890e+04 
       2.610484858059e-02       2.309232961157e+04 
       2.624165566343e-02       2.302070600272e+04 
       2.637863626583e-02       2.294868545990e+04 
       2.651579424361e-02       2.287629959966e+04 
       2.665313355025e-02       2.280347487439e+04 
       2.679065823971e-02       2.273030182975e+04 
       2.692837246935e-02       2.265675568234e+04 
       2.706628050293e-02       2.258285394634e+04 
       2.720438671375e-02       2.250860645832e+04 
       2.734269558789e-02       2.243399667991e+04 
       2.748121172754e-02       2.235910091377e+04 
       2.761993985452e-02       2.228385693101e+04 
       2.775888481382e-02       2.220834134215e+04 
       2.789805157744e-02       2.213250665291e+04 
       2.803744524817e-02       2.205642903129e+04 
       2.817707106370e-02       2.198006426457e+04 
       2.831693440075e-02       2.190342538880e+04 
       2.845704077943e-02       2.182652820565e+04 
       2.859739586775e-02       2.174940433624e+04 
       2.873800548631e-02       2.167203007525e+04 
       2.887887561315e-02       2.159445671294e+04 
       2.902001238883e-02       2.151660776814e+04 
       2.916142212170e-02       2.143860348594e+04 
       2.930311129333e-02       2.136039799947e+04 
       2.944508656428e-02       2.128202001611e+04 
       2.958735477994e-02       2.120341074150e+04 
       2.972992297676e-02       2.112463175069e+04 
       2.987279838868e-02       2.104571430405e+04 
       3.001598845379e-02       2.096664827492e+04 
       3.015950082132e-02       2.088739146847e+04 
       3.030334335896e-02       2.080801289837e+04 
       3.044752416036e-02       2.072849120946e+04 
       3.059205155312e-02       2.064886998575e+04 
       3.073693410703e-02       2.056910645640e+04 
       3.088218064267e-02       2.048922969168e+04 
       3.102780024045e-02       2.040924792107e+04 
       3.117380225000e-02       2.032917020245e+04 
       3.132019630002e-02       2.024895015464e+04 
       3.146699230853e-02       2.016869537333e+04 
       3.161420049368e-02       2.008837770864e+04 
       3.176183138497e-02       2.000793336617e+04 
       3.190989583505e-02       1.992745010915e+04 
       3.205840503204e-02       1.984688919477e+04 
       3.220737051251e-02       1.976631207528e+04 
       3.235680417499e-02       1.968563305572e+04 
       3.250671829422e-02       1.960486091738e+04 
       3.265712553603e-02       1.952413333200e+04 
       3.280803897305e-02       1.944335408181e+04 
       3.295947210110e-02       1.936244328769e+04 
       3.311143885650e-02       1.928166414395e+04 
       3.326395363424e-02       1.920072151735e+04 
       3.341703130702e-02       1.911985505688e+04 
       3.357068724542e-02       1.903881676068e+04 
       3.372493733902e-02       1.895792363272e+04 
       3.387979801870e-02       1.887697547361e+04 
       3.403528628013e-02       1.879599500332e+04 
       3.419141970851e-02       1.871503617066e+04 
       3.434821650477e-02       1.863403160899e+04 
       3.450569551309e-02       1.855306531267e+04 
       3.466387625007e-02       1.847215553850e+04 
       3.482277893557e-02       1.839112645821e+04 
       3.498242452520e-02       1.831019877939e+04 
       3.514283474489e-02       1.822926723901e+04 
       3.530403212732e-02       1.814835209711e+04 
       3.546604005065e-02       1.806743852777e+04 
       3.562888277949e-02       1.798653055750e+04 
       3.579258550844e-02       1.790562733005e+04 
       3.595717440829e-02       1.782475797018e+04 
       3.612267667509e-02       1.774391805063e+04 
       3.628912058238e-02       1.766310431664e+04 
       3.645653553669e-02       1.758225530851e+04 
       3.662495213669e-02       1.750146767902e+04 
       3.679440223622e-02       1.742071165110e+04 
       3.696491901153e-02       1.733998879221e+04 
       3.713653703296e-02       1.725919619493e+04 
       3.730929234168e-02       1.717846458363e+04 
       3.748322253157e-02       1.709775781368e+04 
       3.765836683693e-02       1.701710657735e+04 
       3.783476622645e-02       1.693636395659e+04 
       3.801246350389e-02       1.685570084869e+04 
       3.819150341613e-02       1.677509611626e+04 
       3.837193276928e-02       1.669438302510e+04 
       3.855380055345e-02       1.661379625185e+04 
       3.873715807711e-02       1.653300241264e+04 
       3.892205911179e-02       1.645239989030e+04 
       3.910856004817e-02       1.637179643296e+04 
       3.929672006469e-02       1.629111802535e+04 
       3.948660130966e-02       1.621040060561e+04 
       3.967826909855e-02       1.612975167824e+04 
       3.987179212760e-02       1.604896097688e+04 
       4.006724270567e-02       1.596819071900e+04 
       4.026469700605e-02       1.588734212838e+04 
       4.046423534041e-02       1.580650466079e+04 
       4.066594245712e-02       1.572562342111e+04 
       4.086990786671e-02       1.564459470066e+04 
       4.107622619732e-02       1.556357153340e+04 
       4.128499758360e-02       1.548242073035e+04 
       4.149632809268e-02       1.540119075810e+04 
       4.171033019176e-02       1.531987803119e+04 
       4.192712326192e-02       1.523851772582e+04 
       4.214683416398e-02       1.515696318229e+04 
       4.236959786244e-02       1.507522083551e+04 
       4.259555811510e-02       1.499342549367e+04 
       4.282486823629e-02       1.491144076110e+04 
       4.305769194359e-02       1.482923512266e+04 
       4.329420429878e-02       1.474689434706e+04 
